RSVPID,AlumniID,EventID,RSVPStatus,RSVPDate,GuestCount,SpecialRequirements,CheckInStatus
RSP001193,ALM01022,EVT00097,Declined,2024-09-15,3,,Yes
RSP001194,ALM03267,EVT00057,Not Responded,2026-02-10,0,Vegan,Yes
RSP001195,ALM00832,EVT00043,Not Responded,2026-03-09,0,,Yes
RSP001196,ALM01589,EVT00032,Confirmed,2024-10-12,0,,Yes
RSP001197,ALM02083,EVT00145,Tentative,2024-11-21,4,,Yes
RSP001198,ALM02205,EVT00044,Tentative,2025-04-25,1,,Yes
RSP001199,ALM03128,EVT00096,Tentative,2024-07-28,2,,Yes
RSP001200,ALM02800,EVT00079,Confirmed,2025-09-27,3,,Yes
RSP001201,ALM03386,EVT00015,Not Responded,2024-06-21,3,,Not Yet
RSP001202,ALM03117,EVT00098,Confirmed,2023-12-06,1,Gluten-Free,Yes
RSP001203,ALM00023,EVT00031,Not Responded,2025-09-10,2,,Not Yet
RSP001204,ALM02488,EVT00074,Confirmed,2024-11-28,0,Wheelchair Access,No
RSP001205,ALM00800,EVT00078,Confirmed,2024-05-30,0,Vegan,Yes
RSP001206,ALM00554,EVT00069,Declined,2024-03-31,0,Gluten-Free,Not Yet
RSP001207,ALM02367,EVT00073,Confirmed,2025-01-14,0,,Yes
RSP001208,ALM00394,EVT00123,Not Responded,2024-11-20,4,,Yes
RSP001209,ALM01008,EVT00088,Declined,2025-01-21,1,,Yes
RSP001210,ALM01648,EVT00013,Declined,2024-11-24,0,,Yes
RSP001211,ALM01539,EVT00079,Tentative,2025-08-30,2,,Yes
RSP001212,ALM02379,EVT00109,Confirmed,2024-03-10,1,,Not Yet
RSP001213,ALM03440,EVT00067,Not Responded,2023-11-06,0,,Yes
RSP001214,ALM01244,EVT00126,Not Responded,2025-03-22,0,,Yes
RSP001215,ALM01358,EVT00142,Not Responded,2026-02-08,2,Vegan,Yes
RSP001216,ALM02616,EVT00008,Not Responded,2024-03-29,0,,Yes
RSP001217,ALM00299,EVT00088,Confirmed,2025-02-02,0,,Not Yet
RSP001218,ALM01781,EVT00044,Confirmed,2025-05-26,3,,Yes
RSP001219,ALM02201,EVT00079,Declined,2025-08-05,4,Vegetarian,Yes
RSP001220,ALM01621,EVT00011,Declined,2023-10-24,3,,No
RSP001221,ALM00741,EVT00099,Declined,2024-10-10,2,,No
RSP001222,ALM01413,EVT00141,Not Responded,2024-04-22,1,,Yes
RSP001223,ALM02956,EVT00067,Not Responded,2023-11-28,2,,Yes
RSP001224,ALM00608,EVT00061,Confirmed,2026-02-07,2,,Yes
RSP001225,ALM01196,EVT00044,Declined,2025-04-11,1,,Yes
RSP001226,ALM00664,EVT00030,Confirmed,2024-10-05,2,,Yes
RSP001227,ALM02526,EVT00150,Declined,2026-02-18,0,,No
RSP001228,ALM02225,EVT00118,Not Responded,2025-08-11,4,,No
RSP001229,ALM02916,EVT00015,Confirmed,2024-06-10,3,,Not Yet
RSP001230,ALM00722,EVT00039,Declined,2025-08-04,3,,Yes
RSP001231,ALM00711,EVT00040,Declined,2026-01-25,0,,Not Yet
RSP001232,ALM02042,EVT00073,Not Responded,2025-01-09,4,,Yes
RSP001233,ALM00258,EVT00080,Confirmed,2025-07-15,3,,No
RSP001234,ALM00023,EVT00052,Declined,2025-12-27,1,,Yes
RSP001235,ALM02668,EVT00122,Declined,2024-04-07,2,,Yes
RSP001236,ALM00802,EVT00035,Declined,2025-07-03,2,Vegetarian,Yes
RSP001237,ALM02615,EVT00035,Confirmed,2025-06-01,3,,Yes
RSP001238,ALM01907,EVT00090,Confirmed,2024-10-03,4,,Yes
RSP001239,ALM00315,EVT00008,Declined,2024-02-29,2,,Yes
RSP001240,ALM02172,EVT00002,Not Responded,2024-10-04,4,,Yes
RSP001241,ALM03051,EVT00150,Confirmed,2026-02-18,1,,No
RSP001242,ALM03179,EVT00014,Not Responded,2025-04-09,2,,Yes
RSP001243,ALM01991,EVT00005,Not Responded,2025-01-17,4,,Not Yet
RSP001244,ALM00966,EVT00087,Confirmed,2025-04-14,3,,Yes
RSP001245,ALM02443,EVT00078,Confirmed,2024-05-09,1,Gluten-Free,Yes
RSP001246,ALM00094,EVT00116,Confirmed,2026-03-11,4,,Yes
RSP001247,ALM00410,EVT00136,Confirmed,2024-10-13,3,,No
RSP001248,ALM02682,EVT00113,Declined,2024-11-02,1,,Yes
RSP001249,ALM02260,EVT00026,Tentative,2025-04-19,2,,No
RSP001250,ALM02348,EVT00061,Tentative,2026-01-21,4,Vegetarian,No
RSP001251,ALM01942,EVT00094,Confirmed,2024-04-21,2,,Yes
RSP001252,ALM01414,EVT00012,Confirmed,2025-05-17,3,,Yes
RSP001253,ALM00331,EVT00011,Tentative,2023-10-17,2,,Yes
RSP001254,ALM01918,EVT00082,Confirmed,2025-09-11,4,,Yes
RSP001255,ALM02004,EVT00101,Tentative,2025-03-18,3,,Yes
RSP001256,ALM01295,EVT00103,Tentative,2025-12-01,2,,Not Yet
RSP001257,ALM03045,EVT00056,Tentative,2024-09-09,4,,Yes
RSP001258,ALM00233,EVT00133,Confirmed,2023-12-27,2,,Yes
RSP001259,ALM01044,EVT00068,Not Responded,2023-12-23,2,,Yes
RSP001260,ALM02786,EVT00122,Confirmed,2024-02-20,0,Vegan,No
RSP001261,ALM02143,EVT00047,Tentative,2024-07-29,2,,Not Yet
RSP001262,ALM00910,EVT00094,Not Responded,2024-04-04,1,,Yes
RSP001263,ALM00620,EVT00114,Tentative,2023-11-09,4,,Yes
RSP001264,ALM00823,EVT00110,Not Responded,2024-07-10,2,,Yes
RSP001265,ALM02331,EVT00129,Confirmed,2026-02-08,2,,Yes
RSP001266,ALM00882,EVT00064,Confirmed,2025-06-27,1,,Not Yet
RSP001267,ALM02614,EVT00076,Confirmed,2025-05-05,4,,No
RSP001268,ALM01875,EVT00074,Confirmed,2024-10-23,1,,No
RSP001269,ALM00343,EVT00149,Not Responded,2025-06-10,3,,Yes
RSP001270,ALM01500,EVT00108,Tentative,2025-11-19,0,,Yes
RSP001271,ALM01717,EVT00048,Confirmed,2024-06-30,4,Vegan,Yes
RSP001272,ALM02074,EVT00127,Confirmed,2024-11-11,4,,No
RSP001273,ALM00835,EVT00013,Confirmed,2024-11-24,0,,Not Yet
RSP001274,ALM01237,EVT00072,Not Responded,2023-12-01,0,Wheelchair Access,Not Yet
RSP001275,ALM00159,EVT00132,Declined,2023-11-19,1,,No
RSP001276,ALM00175,EVT00044,Not Responded,2025-05-26,4,,No
RSP001277,ALM01315,EVT00091,Confirmed,2025-03-17,2,Vegetarian,Not Yet
RSP001278,ALM03491,EVT00142,Confirmed,2026-03-03,0,Vegetarian,Not Yet
RSP001279,ALM01631,EVT00092,Confirmed,2024-10-27,4,,Yes
RSP001280,ALM00383,EVT00147,Declined,2025-01-27,4,,Yes
RSP001281,ALM02025,EVT00060,Declined,2023-12-29,2,,Yes
RSP001282,ALM03314,EVT00017,Confirmed,2024-10-31,2,,Yes
RSP001283,ALM03481,EVT00008,Confirmed,2024-03-24,0,,No
RSP001284,ALM02437,EVT00066,Confirmed,2025-09-13,2,,No
RSP001285,ALM00881,EVT00123,Confirmed,2024-11-26,2,,No
RSP001286,ALM02667,EVT00136,Confirmed,2024-09-15,0,,Yes
RSP001287,ALM01162,EVT00034,Declined,2024-10-28,3,,No
RSP001288,ALM00869,EVT00029,Confirmed,2024-05-25,1,,Yes
RSP001289,ALM01034,EVT00050,Confirmed,2026-01-21,1,,No
RSP001290,ALM01967,EVT00134,Declined,2025-12-14,1,Wheelchair Access,Yes
RSP001291,ALM01825,EVT00113,Confirmed,2024-11-11,1,,Yes
RSP001292,ALM01917,EVT00102,Not Responded,2024-11-27,1,Vegan,No
RSP001293,ALM02984,EVT00146,Not Responded,2025-09-06,2,,Yes
RSP001294,ALM01420,EVT00148,Not Responded,2024-05-12,0,,Not Yet
RSP001295,ALM00510,EVT00005,Confirmed,2025-01-29,3,,Yes
RSP001296,ALM03313,EVT00009,Declined,2025-06-18,2,,Yes
RSP001297,ALM02825,EVT00102,Declined,2024-11-22,0,,Yes
RSP001298,ALM00455,EVT00130,Confirmed,2024-11-24,2,,No
RSP001299,ALM01246,EVT00118,Tentative,2025-09-05,1,Gluten-Free,Yes
RSP001300,ALM01336,EVT00087,Confirmed,2025-03-09,3,,Yes
RSP001301,ALM02366,EVT00123,Confirmed,2024-11-11,2,Wheelchair Access,Yes
RSP001302,ALM00689,EVT00017,Not Responded,2024-11-04,3,,No
RSP001303,ALM00279,EVT00145,Tentative,2024-12-01,3,,Not Yet
RSP001304,ALM01307,EVT00061,Declined,2026-01-13,1,,Not Yet
RSP001305,ALM03452,EVT00089,Declined,2025-02-05,2,,Yes
RSP001306,ALM00883,EVT00095,Not Responded,2025-04-14,3,,No
RSP001307,ALM00962,EVT00146,Confirmed,2025-08-20,4,,Yes
RSP001308,ALM00032,EVT00059,Declined,2024-09-10,4,,Yes
RSP001309,ALM00723,EVT00031,Confirmed,2025-09-29,0,Vegetarian,Yes
RSP001310,ALM02967,EVT00144,Confirmed,2024-12-29,1,Vegan,No
RSP001311,ALM00679,EVT00004,Not Responded,2023-11-28,3,,Yes
RSP001312,ALM01093,EVT00102,Confirmed,2024-11-15,3,,No
RSP001313,ALM00643,EVT00075,Confirmed,2025-04-13,2,,Yes
RSP001314,ALM00605,EVT00058,Not Responded,2024-11-17,2,,Yes
RSP001315,ALM01540,EVT00095,Confirmed,2025-04-08,4,,Yes
RSP001316,ALM00230,EVT00119,Confirmed,2025-07-19,1,,Yes
RSP001317,ALM00854,EVT00144,Confirmed,2025-02-03,2,,Yes
RSP001318,ALM02489,EVT00130,Declined,2024-11-27,4,,Yes
RSP001319,ALM02357,EVT00107,Confirmed,2024-07-17,0,,Yes
RSP001320,ALM01295,EVT00058,Not Responded,2024-12-06,0,Vegetarian,Not Yet
RSP001321,ALM01806,EVT00131,Not Responded,2025-10-03,0,,Yes
RSP001322,ALM00234,EVT00116,Tentative,2026-04-01,0,,No
RSP001323,ALM01575,EVT00134,Confirmed,2025-12-03,1,,Yes
RSP001324,ALM01141,EVT00066,Not Responded,2025-08-19,3,,Not Yet
RSP001325,ALM02739,EVT00022,Confirmed,2025-11-24,3,,Yes
RSP001326,ALM02069,EVT00018,Tentative,2024-07-15,2,Vegan,Not Yet
RSP001327,ALM01435,EVT00146,Not Responded,2025-09-10,3,,Yes
RSP001328,ALM03284,EVT00025,Confirmed,2025-10-15,3,Vegan,Not Yet
RSP001329,ALM02135,EVT00083,Confirmed,2026-03-06,1,Vegan,Yes
RSP001330,ALM03045,EVT00007,Not Responded,2024-09-24,1,,Not Yet
RSP001331,ALM02882,EVT00064,Not Responded,2025-05-27,2,,No
RSP001332,ALM00693,EVT00068,Not Responded,2024-01-28,0,,Yes
RSP001333,ALM02737,EVT00107,Confirmed,2024-07-16,4,,Yes
RSP001334,ALM02846,EVT00121,Not Responded,2023-12-01,0,,Not Yet
RSP001335,ALM01424,EVT00037,Tentative,2026-02-15,0,,No
RSP001336,ALM02618,EVT00081,Confirmed,2023-11-26,1,,Yes
RSP001337,ALM01567,EVT00018,Confirmed,2024-07-21,4,Vegan,Yes
RSP001338,ALM01727,EVT00099,Confirmed,2024-11-10,4,,Yes
RSP001339,ALM01804,EVT00033,Confirmed,2024-03-27,3,,Yes
RSP001340,ALM02364,EVT00025,Confirmed,2025-10-08,3,,Not Yet
RSP001341,ALM01972,EVT00116,Tentative,2026-04-09,2,Gluten-Free,Yes
RSP001342,ALM01830,EVT00084,Declined,2025-07-27,0,Gluten-Free,Not Yet
RSP001343,ALM00714,EVT00013,Declined,2024-10-22,4,,Yes
RSP001344,ALM01811,EVT00005,Confirmed,2024-12-23,0,,Yes
RSP001345,ALM03430,EVT00105,Declined,2025-03-30,2,,Yes
RSP001346,ALM02622,EVT00071,Declined,2026-01-31,1,,No
RSP001347,ALM01665,EVT00080,Confirmed,2025-07-22,4,,Yes
RSP001348,ALM01752,EVT00042,Not Responded,2026-01-18,2,,Yes
RSP001349,ALM01282,EVT00114,Not Responded,2023-11-24,1,,Yes
RSP001350,ALM02614,EVT00048,Not Responded,2024-05-20,3,,Not Yet
RSP001351,ALM01703,EVT00119,Confirmed,2025-07-25,4,,Yes
RSP001352,ALM01588,EVT00048,Tentative,2024-06-26,1,,No
RSP001353,ALM01278,EVT00060,Not Responded,2024-02-03,3,,Yes
RSP001354,ALM01865,EVT00027,Confirmed,2024-12-26,1,,Yes
RSP001355,ALM00205,EVT00023,Not Responded,2024-11-17,3,,No
RSP001356,ALM02093,EVT00148,Confirmed,2024-05-21,0,,Yes
RSP001357,ALM00406,EVT00019,Confirmed,2024-03-30,2,,No
RSP001358,ALM01427,EVT00088,Not Responded,2024-12-13,1,Gluten-Free,Yes
RSP001359,ALM00615,EVT00068,Declined,2023-12-21,4,,Yes
RSP001360,ALM02258,EVT00037,Confirmed,2026-02-17,4,,Yes
RSP001361,ALM01872,EVT00014,Confirmed,2025-04-17,2,,Yes
RSP001362,ALM01305,EVT00046,Not Responded,2025-05-16,3,Vegetarian,No
RSP001363,ALM00308,EVT00103,Confirmed,2025-12-11,4,,No
RSP001364,ALM00868,EVT00017,Tentative,2024-11-22,0,,Yes
RSP001365,ALM00372,EVT00108,Tentative,2025-11-25,1,,Yes
RSP001366,ALM00751,EVT00077,Confirmed,2025-07-06,2,Vegan,Yes
RSP001367,ALM02424,EVT00058,Declined,2024-12-24,4,,Yes
RSP001368,ALM02788,EVT00080,Confirmed,2025-07-31,0,,No
RSP001369,ALM03417,EVT00096,Tentative,2024-07-30,3,,Yes
RSP001370,ALM00453,EVT00091,Declined,2025-04-24,1,,Not Yet
RSP001371,ALM03272,EVT00030,Tentative,2024-10-19,4,,Yes
RSP001372,ALM02571,EVT00033,Confirmed,2024-05-08,0,,Yes
RSP001373,ALM01849,EVT00041,Confirmed,2023-09-21,1,,Yes
RSP001374,ALM01977,EVT00130,Declined,2024-11-24,4,,No
RSP001375,ALM01504,EVT00133,Tentative,2023-12-19,3,,Yes
RSP001376,ALM01370,EVT00137,Confirmed,2024-03-23,3,,Yes
RSP001377,ALM02770,EVT00119,Confirmed,2025-07-31,1,,Not Yet
RSP001378,ALM01218,EVT00010,Confirmed,2025-12-01,2,Vegetarian,Not Yet
RSP001379,ALM01924,EVT00088,Confirmed,2025-01-05,4,,Yes
RSP001380,ALM03070,EVT00144,Confirmed,2025-01-14,3,,Yes
RSP001381,ALM00523,EVT00091,Confirmed,2025-03-13,4,,No
RSP001382,ALM02114,EVT00148,Tentative,2024-05-17,1,,No
RSP001383,ALM00208,EVT00019,Tentative,2024-04-05,3,,Yes
RSP001384,ALM01287,EVT00001,Confirmed,2024-08-26,2,,Yes
RSP001385,ALM01155,EVT00103,Confirmed,2025-11-30,2,,No
RSP001386,ALM02362,EVT00076,Confirmed,2025-06-21,4,,Yes
RSP001387,ALM02782,EVT00106,Confirmed,2025-03-22,2,,Yes
RSP001388,ALM00917,EVT00055,Not Responded,2026-02-23,4,Gluten-Free,Yes
RSP001389,ALM00717,EVT00140,Tentative,2024-02-12,3,,Yes
RSP001390,ALM02380,EVT00067,Confirmed,2023-12-01,4,,No
RSP001391,ALM01312,EVT00134,Confirmed,2025-12-03,3,,Not Yet
RSP001392,ALM00091,EVT00137,Not Responded,2024-03-09,4,,Yes
RSP001393,ALM01497,EVT00050,Confirmed,2026-01-11,3,Gluten-Free,Yes
RSP001394,ALM01101,EVT00002,Confirmed,2024-09-30,2,,Not Yet
RSP001395,ALM01298,EVT00148,Confirmed,2024-06-07,2,,Yes
RSP001396,ALM01321,EVT00104,Confirmed,2025-11-08,0,,Yes
RSP001397,ALM01164,EVT00013,Confirmed,2024-11-14,1,,Not Yet
RSP001398,ALM02082,EVT00042,Confirmed,2025-12-26,1,,Not Yet
RSP001399,ALM02113,EVT00128,Confirmed,2025-07-17,3,,Not Yet
RSP001400,ALM00443,EVT00094,Confirmed,2024-03-18,4,,Yes
RSP001401,ALM02910,EVT00123,Confirmed,2024-11-16,2,,Yes
RSP001402,ALM02634,EVT00150,Confirmed,2026-02-10,2,,No
RSP001403,ALM01261,EVT00016,Tentative,2024-03-17,3,,Not Yet
RSP001404,ALM02361,EVT00103,Confirmed,2025-12-21,0,,Not Yet
RSP001405,ALM00196,EVT00071,Confirmed,2026-03-09,2,,No
RSP001406,ALM00714,EVT00138,Confirmed,2023-12-06,4,,Yes
RSP001407,ALM00096,EVT00013,Confirmed,2024-11-13,1,,Yes
RSP001408,ALM00202,EVT00092,Declined,2024-11-30,2,,Yes
RSP001409,ALM00600,EVT00034,Tentative,2024-10-23,3,,No
RSP001410,ALM01961,EVT00061,Confirmed,2026-01-20,2,,Not Yet
RSP001411,ALM01213,EVT00115,Not Responded,2025-07-26,0,,Yes
RSP001412,ALM03393,EVT00078,Confirmed,2024-05-22,3,Gluten-Free,Yes
RSP001413,ALM03099,EVT00002,Declined,2024-11-19,4,,No
RSP001414,ALM02427,EVT00113,Declined,2024-09-20,3,,Yes
RSP001415,ALM00914,EVT00150,Confirmed,2026-02-16,0,,Yes
RSP001416,ALM02829,EVT00013,Tentative,2024-11-13,0,,Yes
RSP001417,ALM03094,EVT00137,Tentative,2024-02-19,2,Vegan,Not Yet
RSP001418,ALM00726,EVT00089,Declined,2025-02-06,4,Vegan,Not Yet
RSP001419,ALM00814,EVT00075,Declined,2025-05-22,3,,Yes
RSP001420,ALM01232,EVT00130,Not Responded,2024-11-18,0,,Yes
RSP001421,ALM03277,EVT00075,Tentative,2025-04-10,1,,Not Yet
RSP001422,ALM00660,EVT00064,Tentative,2025-06-08,4,,Yes
RSP001423,ALM02725,EVT00002,Confirmed,2024-11-14,2,,Not Yet
RSP001424,ALM02890,EVT00086,Confirmed,2023-10-22,2,,Yes
RSP001425,ALM01702,EVT00003,Confirmed,2025-10-14,1,,No
RSP001426,ALM00723,EVT00122,Confirmed,2024-02-27,4,,Yes
RSP001427,ALM00997,EVT00128,Confirmed,2025-07-27,1,,No
RSP001428,ALM01201,EVT00116,Declined,2026-03-24,3,Gluten-Free,Yes
RSP001429,ALM03255,EVT00010,Tentative,2025-12-15,4,,Yes
RSP001430,ALM01272,EVT00120,Tentative,2025-12-25,2,,Yes
RSP001431,ALM00749,EVT00115,Declined,2025-06-03,1,,Yes
RSP001432,ALM01368,EVT00011,Not Responded,2023-09-20,3,,Yes
RSP001433,ALM02683,EVT00070,Not Responded,2023-09-23,3,,Yes
RSP001434,ALM00100,EVT00036,Confirmed,2023-11-13,2,,Yes
RSP001435,ALM02263,EVT00018,Confirmed,2024-08-07,2,Wheelchair Access,Not Yet
RSP001436,ALM02996,EVT00051,Confirmed,2024-12-06,0,,Not Yet
RSP001437,ALM02276,EVT00058,Confirmed,2024-12-13,4,,Yes
RSP001438,ALM02308,EVT00123,Confirmed,2024-12-05,3,Vegan,No
RSP001439,ALM01153,EVT00005,Not Responded,2024-12-30,4,,Yes
RSP001440,ALM00498,EVT00107,Not Responded,2024-07-12,4,Wheelchair Access,Yes
RSP001441,ALM01332,EVT00067,Confirmed,2023-11-05,4,Wheelchair Access,Yes
RSP001442,ALM02644,EVT00103,Declined,2025-12-12,1,,Not Yet
RSP001443,ALM00275,EVT00103,Confirmed,2025-11-02,2,,Yes
RSP001444,ALM02962,EVT00027,Confirmed,2024-12-28,3,Vegan,Yes
RSP001445,ALM03245,EVT00041,Declined,2023-09-30,3,,No
RSP001446,ALM02273,EVT00134,Confirmed,2025-11-15,0,Vegetarian,Not Yet
RSP001447,ALM02811,EVT00033,Confirmed,2024-04-26,0,,Yes
RSP001448,ALM02776,EVT00116,Confirmed,2026-04-13,3,,Yes
RSP001449,ALM01353,EVT00041,Not Responded,2023-10-14,4,,Not Yet
RSP001450,ALM02730,EVT00085,Tentative,2025-07-31,1,,No
RSP001451,ALM03472,EVT00012,Tentative,2025-05-29,0,,Yes
RSP001452,ALM01335,EVT00062,Confirmed,2025-09-11,2,,Yes
RSP001453,ALM02177,EVT00100,Confirmed,2024-11-22,3,,Yes
RSP001454,ALM02779,EVT00115,Not Responded,2025-06-04,3,,Yes
RSP001455,ALM00958,EVT00066,Not Responded,2025-09-02,3,,Yes
RSP001456,ALM00526,EVT00136,Not Responded,2024-10-24,1,,Not Yet
RSP001457,ALM02314,EVT00037,Tentative,2026-02-22,3,,Yes
RSP001458,ALM01571,EVT00081,Not Responded,2024-01-07,3,Gluten-Free,Yes
RSP001459,ALM00606,EVT00150,Confirmed,2026-02-11,0,,Yes
RSP001460,ALM01455,EVT00066,Confirmed,2025-07-22,1,,Yes
RSP001461,ALM02468,EVT00039,Declined,2025-07-22,3,,Yes
RSP001462,ALM00664,EVT00115,Declined,2025-07-05,2,Vegetarian,Yes
RSP001463,ALM01397,EVT00025,Confirmed,2025-10-19,2,,No
RSP001464,ALM01912,EVT00134,Confirmed,2025-12-12,2,,Yes
RSP001465,ALM02387,EVT00088,Not Responded,2024-12-15,3,,Yes
RSP001466,ALM02965,EVT00120,Confirmed,2025-12-29,4,,Not Yet
RSP001467,ALM01043,EVT00122,Confirmed,2024-03-24,1,,Yes
RSP001468,ALM00528,EVT00115,Confirmed,2025-06-05,3,,Not Yet
RSP001469,ALM03012,EVT00111,Tentative,2024-02-26,2,,No
RSP001470,ALM01986,EVT00010,Declined,2025-12-03,1,,Yes
RSP001471,ALM02769,EVT00028,Not Responded,2025-12-07,0,,Not Yet
RSP001472,ALM01556,EVT00075,Declined,2025-05-09,3,,Yes
RSP001473,ALM02954,EVT00086,Confirmed,2023-11-06,1,,Yes
RSP001474,ALM01822,EVT00025,Not Responded,2025-10-04,2,Vegan,Yes
RSP001475,ALM01783,EVT00115,Declined,2025-06-10,3,,Yes
RSP001476,ALM00800,EVT00109,Confirmed,2024-01-26,2,,Yes
RSP001477,ALM03368,EVT00124,Not Responded,2024-04-05,1,Gluten-Free,Yes
RSP001478,ALM01026,EVT00091,Confirmed,2025-03-28,4,,Yes
RSP001479,ALM01272,EVT00060,Confirmed,2024-01-13,0,,Yes
RSP001480,ALM00153,EVT00042,Confirmed,2026-01-06,4,Vegan,Yes
RSP001481,ALM03475,EVT00128,Declined,2025-09-05,2,,Not Yet
RSP001482,ALM00222,EVT00098,Declined,2023-11-05,0,,Not Yet
RSP001483,ALM01931,EVT00137,Confirmed,2024-03-19,2,,Yes
RSP001484,ALM02962,EVT00051,Confirmed,2024-12-09,3,,Not Yet
RSP001485,ALM00204,EVT00033,Declined,2024-04-25,3,,Yes
RSP001486,ALM01363,EVT00059,Not Responded,2024-10-01,4,Wheelchair Access,Yes
RSP001487,ALM01510,EVT00020,Confirmed,2024-09-18,0,Gluten-Free,Not Yet
RSP001488,ALM00963,EVT00147,Confirmed,2025-01-29,2,,Yes
RSP001489,ALM02246,EVT00014,Tentative,2025-04-09,1,,Yes
RSP001490,ALM03093,EVT00062,Confirmed,2025-08-06,4,,Yes
RSP001491,ALM00198,EVT00026,Declined,2025-04-01,3,,Yes
RSP001492,ALM03387,EVT00070,Confirmed,2023-09-22,4,Gluten-Free,Yes
RSP001493,ALM01569,EVT00041,Confirmed,2023-11-07,4,,Yes
RSP001494,ALM00746,EVT00012,Confirmed,2025-05-31,0,Vegetarian,Yes
RSP001495,ALM00508,EVT00020,Tentative,2024-08-03,3,,Yes
RSP001496,ALM00408,EVT00126,Tentative,2025-04-11,4,,Yes
RSP001497,ALM02494,EVT00102,Tentative,2024-12-31,0,,No
RSP001498,ALM00028,EVT00137,Declined,2024-02-15,1,,Yes
RSP001499,ALM02547,EVT00024,Not Responded,2026-01-01,4,,No
RSP001500,ALM03169,EVT00014,Confirmed,2025-04-17,4,Wheelchair Access,Yes
RSP001501,ALM03263,EVT00099,Declined,2024-10-02,2,Vegan,Yes
RSP001502,ALM03020,EVT00126,Confirmed,2025-03-02,0,,No
RSP001503,ALM00076,EVT00112,Confirmed,2025-12-05,1,,Yes
RSP001504,ALM01789,EVT00002,Confirmed,2024-10-03,2,Gluten-Free,Not Yet
RSP001505,ALM02718,EVT00142,Confirmed,2026-02-01,0,,Yes
RSP001506,ALM00367,EVT00023,Not Responded,2025-01-08,0,,Not Yet
RSP001507,ALM01207,EVT00150,Declined,2026-01-20,4,,No
RSP001508,ALM00623,EVT00117,Confirmed,2024-12-09,2,,Not Yet
RSP001509,ALM02428,EVT00132,Tentative,2023-10-23,3,Gluten-Free,No
RSP001510,ALM01840,EVT00042,Tentative,2025-12-07,4,,No
RSP001511,ALM02560,EVT00106,Confirmed,2025-03-19,1,,No
RSP001512,ALM03495,EVT00141,Tentative,2024-06-03,4,,No
RSP001513,ALM00009,EVT00022,Confirmed,2025-12-16,0,,Yes
RSP001514,ALM01263,EVT00133,Confirmed,2024-02-09,3,,Yes
RSP001515,ALM01555,EVT00060,Confirmed,2023-12-31,0,Gluten-Free,Yes
RSP001516,ALM00837,EVT00112,Tentative,2026-01-07,1,Wheelchair Access,Yes
RSP001517,ALM01546,EVT00119,Confirmed,2025-07-12,2,,Yes
RSP001518,ALM01143,EVT00069,Confirmed,2024-03-20,0,,Yes
RSP001519,ALM01789,EVT00090,Declined,2024-09-26,4,,Yes
RSP001520,ALM00132,EVT00026,Tentative,2025-04-22,0,,Yes
RSP001521,ALM02631,EVT00034,Confirmed,2024-11-14,1,Vegetarian,Yes
RSP001522,ALM02627,EVT00128,Not Responded,2025-09-02,4,,Not Yet
RSP001523,ALM01394,EVT00024,Confirmed,2025-12-16,3,,Yes
RSP001524,ALM01200,EVT00135,Not Responded,2024-06-07,0,,No
RSP001525,ALM02822,EVT00115,Tentative,2025-06-28,3,,No
RSP001526,ALM00170,EVT00140,Declined,2024-01-11,3,,Yes
RSP001527,ALM00103,EVT00121,Confirmed,2023-12-24,3,Gluten-Free,Yes
RSP001528,ALM00690,EVT00024,Confirmed,2026-01-02,3,,Yes
RSP001529,ALM01071,EVT00044,Not Responded,2025-06-05,0,,Yes
RSP001530,ALM01229,EVT00145,Confirmed,2024-11-12,2,Wheelchair Access,No
RSP001531,ALM02063,EVT00096,Confirmed,2024-08-25,3,,No
RSP001532,ALM00518,EVT00134,Declined,2025-11-26,1,,Yes
RSP001533,ALM02283,EVT00024,Tentative,2026-02-03,1,Gluten-Free,Yes
RSP001534,ALM02975,EVT00114,Tentative,2023-12-20,2,,No
RSP001535,ALM02511,EVT00025,Not Responded,2025-10-22,3,,No
RSP001536,ALM01417,EVT00049,Confirmed,2024-04-27,4,Gluten-Free,Not Yet
RSP001537,ALM03409,EVT00139,Confirmed,2025-03-01,4,Vegetarian,Yes
RSP001538,ALM00880,EVT00011,Not Responded,2023-09-24,4,,Yes
RSP001539,ALM01513,EVT00040,Confirmed,2026-01-27,2,Vegan,Yes
RSP001540,ALM02964,EVT00094,Tentative,2024-03-18,3,,Yes
RSP001541,ALM02193,EVT00038,Declined,2026-02-04,3,,Yes
RSP001542,ALM02848,EVT00063,Tentative,2024-03-16,3,,Yes
RSP001543,ALM02951,EVT00013,Confirmed,2024-12-06,0,Gluten-Free,No
RSP001544,ALM03171,EVT00030,Declined,2024-11-10,4,,Not Yet
RSP001545,ALM02705,EVT00117,Tentative,2024-11-26,3,,Yes
RSP001546,ALM03332,EVT00103,Confirmed,2025-11-17,3,,No
RSP001547,ALM02524,EVT00104,Declined,2025-12-09,2,,No
RSP001548,ALM02823,EVT00004,Not Responded,2024-01-07,0,,Yes
RSP001549,ALM01345,EVT00087,Tentative,2025-02-23,4,,No
RSP001550,ALM01607,EVT00113,Tentative,2024-11-01,1,,No
RSP001551,ALM01334,EVT00125,Confirmed,2024-07-07,4,,No
RSP001552,ALM00367,EVT00102,Confirmed,2024-12-03,1,,No
RSP001553,ALM03021,EVT00005,Confirmed,2025-01-06,2,,No
